epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,182.422,1.9152,4.84744,1.92711,0.49656,0.27737,0.30557,0.11214,2.18776,2.64949,2.02199,0.00998514,0.00332838,0.00998514,0.00332838,0.00998514,0.00332838,0.00998514,0.00332838
2,301.573,2.04441,3.21906,2.04303,0.39471,0.14599,0.12923,0.05646,2.59243,3.07508,2.52924,0.0197873,0.00659576,0.0197873,0.00659576,0.0197873,0.00659576,0.0197873,0.00659576
3,406.741,2.22504,3.57103,2.25378,0.03171,0.06569,0.0276,0.00795,2.69172,3.26474,2.73255,0.0293914,0.00979715,0.0293914,0.00979715,0.0293914,0.00979715,0.0293914,0.00979715
4,506.716,2.29625,3.74019,2.48163,0.23545,0.16058,0.11989,0.04111,2.52737,3.11586,2.5341,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,607.289,2.14665,3.55926,2.36391,0.28764,0.25547,0.22116,0.08035,2.33546,3.09793,2.20448,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,707.447,2.06341,3.38875,2.26888,0.47772,0.27737,0.26684,0.09663,2.22558,2.68284,2.12888,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,807.696,1.98831,3.21138,2.16345,0.39512,0.30517,0.2923,0.14443,2.08864,2.55884,2.06359,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,908.125,1.9616,3.14881,2.13501,0.46299,0.36496,0.36238,0.16358,2.01402,2.35843,1.91341,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1008.42,1.89787,3.01109,2.09451,0.39054,0.39416,0.34064,0.16005,2.01344,2.41746,2.0785,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1109.95,1.85319,2.91734,2.02869,0.63267,0.42747,0.45922,0.21862,1.94308,2.2134,1.82687,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1210.22,1.85038,2.86646,2.02754,0.53062,0.41606,0.41403,0.21203,1.87562,2.28813,1.88919,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1310.81,1.79655,2.77937,1.98967,0.59319,0.43066,0.44766,0.17825,1.96266,2.15172,1.90297,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1411.68,1.78986,2.74035,1.97891,0.50163,0.45985,0.42824,0.21004,1.93894,2.22025,1.80376,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1511.84,1.7632,2.63918,1.94971,0.64185,0.45985,0.47618,0.2218,1.84976,2.20226,1.73994,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1612.06,1.74945,2.60658,1.91377,0.62051,0.46715,0.49803,0.24404,1.92647,2.01419,1.80707,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1712.29,1.72543,2.5482,1.90334,0.69718,0.47445,0.51472,0.26595,1.89315,2.0276,1.72896,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1812.75,1.7225,2.5118,1.90715,0.66728,0.46715,0.53673,0.25164,1.85547,1.99279,1.77107,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1913.45,1.69345,2.4629,1.87101,0.75408,0.50365,0.56111,0.27047,1.9123,1.91329,1.82676,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2013.97,1.70001,2.41029,1.85914,0.7189,0.51095,0.56134,0.26926,1.92316,1.93542,1.78767,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2114.71,1.67452,2.37853,1.841,0.85182,0.50351,0.59916,0.31448,1.81305,1.81433,1.66611,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2215.15,1.67956,2.34727,1.86232,0.92563,0.45426,0.60219,0.30801,1.76454,1.70081,1.66459,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2315.7,1.64854,2.30835,1.82318,0.79181,0.52555,0.60474,0.30395,1.87144,1.70333,1.73859,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2416.46,1.64402,2.28264,1.81075,0.72462,0.55474,0.61281,0.31598,1.77054,1.66431,1.68093,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2517.93,1.62705,2.24699,1.79623,0.79279,0.54745,0.62361,0.31447,1.79968,1.79543,1.70293,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2619.32,1.62078,2.2123,1.78773,0.75534,0.54086,0.60184,0.31104,1.72677,1.75487,1.62938,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2720.56,1.60616,2.21927,1.78259,0.80247,0.58394,0.64832,0.3447,1.76355,1.637,1.67403,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2821.31,1.59158,2.15779,1.76541,0.88162,0.56204,0.65107,0.33375,1.74163,1.59143,1.65574,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2921.96,1.59271,2.14953,1.7629,0.75445,0.59854,0.6522,0.34291,1.78027,1.60068,1.66638,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3023.22,1.58566,2.12853,1.74772,0.85195,0.54607,0.63937,0.36573,1.66673,1.63141,1.5788,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3123.72,1.5807,2.09212,1.74855,0.86343,0.56934,0.67436,0.37717,1.67872,1.51125,1.59736,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3224.39,1.55949,2.10113,1.73295,0.88363,0.59124,0.67731,0.36964,1.72383,1.52201,1.64057,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3324.87,1.56001,2.06356,1.72355,0.89943,0.63504,0.69162,0.36827,1.74334,1.51639,1.63935,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3426.51,1.56578,2.04399,1.72263,0.83373,0.58565,0.65082,0.35224,1.66098,1.58748,1.55126,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3527.43,1.54273,2.01425,1.70823,0.88371,0.59854,0.6655,0.34846,1.73254,1.50576,1.64219,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3628.06,1.53499,1.97726,1.70087,0.8804,0.59106,0.67535,0.36056,1.74042,1.5098,1.65135,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3729.34,1.51863,1.93489,1.68445,0.92134,0.59844,0.69189,0.36253,1.74327,1.3832,1.66439,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3829.55,1.50634,1.91146,1.67405,0.93172,0.60584,0.69305,0.38156,1.70928,1.47224,1.58624,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3930.8,1.50566,1.91438,1.68186,0.85962,0.61314,0.68765,0.373,1.7676,1.40509,1.61869,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4033.31,1.50825,1.87735,1.67261,0.90085,0.59854,0.67219,0.37001,1.7158,1.35643,1.61613,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4134.43,1.49053,1.86089,1.65913,0.89389,0.61491,0.69157,0.36771,1.71105,1.35607,1.60456,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4235.95,1.47554,1.82563,1.64147,0.93346,0.56934,0.68685,0.37352,1.71933,1.42148,1.6093,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4337.33,1.47144,1.81501,1.64717,0.8393,0.64808,0.69852,0.3725,1.71508,1.4107,1.59311,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4437.83,1.46242,1.78507,1.64049,0.88862,0.63504,0.69055,0.37866,1.71406,1.40144,1.59819,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4539.13,1.4532,1.74792,1.62044,0.8393,0.64964,0.6976,0.36494,1.71108,1.37951,1.61828,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4640.85,1.45054,1.76642,1.62066,0.8357,0.63116,0.68895,0.3805,1.68329,1.35554,1.59873,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4741.97,1.43992,1.73391,1.62335,0.87108,0.63504,0.70582,0.39001,1.6556,1.32601,1.58852,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4842.59,1.42938,1.70383,1.60727,0.88894,0.61314,0.69723,0.38335,1.66953,1.33579,1.5929,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
