epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,125.068,1.90078,4.29895,1.88678,0.40691,0.34056,0.29646,0.11188,2.16433,2.51896,1.93487,0.00998514,0.00332838,0.00998514,0.00332838,0.00998514,0.00332838,0.00998514,0.00332838
2,224.167,2.03768,3.14954,1.98459,0.16222,0.12409,0.05285,0.01398,2.62913,3.30591,2.38707,0.0197873,0.00659576,0.0197873,0.00659576,0.0197873,0.00659576,0.0197873,0.00659576
3,314.186,2.21651,3.43028,2.19245,0.09085,0.09265,0.02948,0.01123,2.80028,3.79794,2.68554,0.0293914,0.00979715,0.0293914,0.00979715,0.0293914,0.00979715,0.0293914,0.00979715
4,398.706,2.26189,3.50536,2.29664,0.24204,0.20438,0.12593,0.04345,2.4716,2.84889,2.28057,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,483.32,2.15645,3.38834,2.2209,0.38958,0.27007,0.21728,0.05918,2.39642,3.3539,2.3841,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,569.497,2.07084,3.20283,2.16792,0.43789,0.34307,0.31224,0.12956,2.04936,2.61779,2.05308,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,658.794,1.97489,3.06411,2.08325,0.42141,0.32962,0.30313,0.10576,2.07211,2.4404,2.19227,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,746.48,1.94843,3.00863,2.07564,0.53804,0.41606,0.40963,0.18767,2.07227,2.29713,1.95528,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,834.269,1.89999,2.9063,2.01757,0.61789,0.41606,0.44006,0.20991,1.91993,2.17944,1.87525,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,921.142,1.85753,2.84857,1.98054,0.5516,0.38611,0.38716,0.17935,1.99118,2.12037,1.97617,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
