epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.38,1.95492,3.96824,1.90323,0.74491,0.36496,0.4613,0.21522,1.95924,2.17714,1.69465,0.00997773,0.00332591,0.00997773,0.00332591,0.00997773,0.00332591,0.00997773,0.00332591
2,268.985,1.93666,2.74649,1.89409,0.49403,0.33577,0.33632,0.12295,2.32368,2.83976,2.13187,0.0197799,0.00659332,0.0197799,0.00659332,0.0197799,0.00659332,0.0197799,0.00659332
3,386.484,2.24641,3.39595,2.25543,0.13536,0.08759,0.04356,0.01248,2.54074,4.40654,2.71997,0.0293842,0.00979472,0.0293842,0.00979472,0.0293842,0.00979472,0.0293842,0.00979472
4,499.186,2.25653,3.43538,2.29745,0.15687,0.13869,0.05927,0.02081,2.48061,3.07457,2.4349,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,614.817,2.14818,3.25037,2.20873,0.21081,0.29927,0.15547,0.05891,2.26803,2.96141,2.18013,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,732.354,2.0161,3.02369,2.11304,0.30378,0.32117,0.24321,0.09716,2.11288,2.52577,2.07893,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,850.739,1.95545,2.92477,2.07022,0.4914,0.24818,0.28842,0.12102,1.93084,2.42826,1.98589,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,969.85,1.89283,2.813,2.00785,0.42833,0.29927,0.24834,0.08901,2.46855,2.84407,2.39855,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1087.68,1.84594,2.72601,1.97961,0.58649,0.43484,0.45312,0.21981,1.8438,2.17003,1.78882,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1204.99,1.81691,2.6161,1.94255,0.42252,0.31387,0.31542,0.1378,2.08157,2.44186,1.96953,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1323.06,1.7982,2.54148,1.90554,0.5654,0.46715,0.45362,0.20773,1.93421,2.05861,1.8472,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1441.6,1.751,2.50345,1.86612,0.50389,0.51897,0.4978,0.24488,1.86152,2.01853,1.80664,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1559.27,1.73955,2.43233,1.85571,0.74277,0.40048,0.47411,0.23598,1.87681,2.03591,1.74982,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
